Country,Region,GDP_Per_Capita,Social_Support,Life_Expectancy,Freedom,Generosity,Corruption_Perception,Unemployment_Rate,Population,Happiness_Score,Happiness_Rank
Norway,Europe,0.809,0.999,81.6,0.5,0.448,0.887,3.5,42647108.0,6.46,2478.0
Norway,Oceania,1.821,0.866,53.4,0.508,0.502,0.856,24.9,297682087.0,6.45,2479.0
Germany,Oceania,0.799,0.73,84.2,0.766,0.343,0.564,18.6,1125699991.0,6.45,2480.0
Nepal,Asia,0.484,0.827,83.4,0.791,0.601,0.504,16.7,1123462964.0,6.45,2481.0
Germany,Asia,2.297,0.32,56.7,0.675,0.39,0.034,23.5,842360713.0,6.45,2482.0
Bhutan,Europe,0.872,0.885,80.5,0.255,0.469,0.821,17.0,329190540.0,6.45,2483.0
Australia,Oceania,0.749,0.592,80.3,0.894,0.328,0.832,7.6,1175222870.0,6.45,2484.0
Denmark,Oceania,0.835,0.809,80.5,0.608,0.362,0.749,15.0,1230944516.0,6.45,2485.0
France,North America,1.068,0.629,76.6,0.682,0.531,0.389,12.8,171677348.0,6.45,2486.0
France,Europe,0.315,0.916,77.0,0.324,0.155,0.027,17.8,1197880575.0,6.45,2487.0
USA,Europe,1.984,0.525,55.6,0.697,0.613,0.6,4.8,1116900703.0,6.45,2488.0
Norway,South America,2.231,0.971,50.0,0.298,0.593,0.774,11.8,534713275.0,6.45,2489.0
Germany,Oceania,1.343,0.447,74.6,0.568,0.26,0.054,22.6,1870936.0,6.45,2490.0
Denmark,Oceania,1.888,0.612,51.3,0.468,0.335,0.06,6.1,447347108.0,6.45,2491.0
Australia,Europe,0.876,0.541,83.8,0.349,0.51,0.506,23.3,644863180.0,6.45,2492.0
Germany,Oceania,1.519,0.63,72.0,0.389,0.648,0.496,20.3,501204926.0,6.45,2493.0
UK,Oceania,0.763,0.751,78.1,0.684,0.179,0.398,6.5,1169675547.0,6.44,2494.0
Bhutan,Oceania,0.667,0.927,68.7,0.434,0.515,0.463,4.7,1348759472.0,6.44,2495.0
Norway,North America,1.068,0.805,68.2,0.744,0.595,0.116,24.6,929895099.0,6.44,2496.0
Norway,North America,0.338,0.967,66.5,0.878,0.207,0.234,24.1,932316731.0,6.44,2497.0
Germany,Europe,1.641,0.876,60.1,0.235,0.739,0.729,16.4,237405761.0,6.44,2498.0
USA,Oceania,0.561,0.754,82.7,0.251,0.702,0.503,12.8,820012251.0,6.44,2499.0
Brazil,Europe,0.7,0.515,79.2,0.872,0.511,0.001,7.2,1278245961.0,6.44,2500.0
UK,South America,1.882,0.331,75.5,0.259,0.164,0.114,18.7,1327436847.0,6.44,2501.0
Singapore,South America,1.934,0.327,74.4,0.326,0.706,0.18,24.2,936993268.0,6.44,2502.0
UK,Europe,1.844,0.59,59.1,0.765,0.702,0.889,24.4,1003481809.0,6.44,2503.0
Italy,Europe,0.23,0.728,84.7,0.715,0.514,0.318,6.3,239263297.0,6.43,2504.0
USA,Asia,1.238,0.579,74.0,0.85,0.259,0.149,25.0,104333051.0,6.43,2505.0
Sweden,Europe,1.678,0.463,60.9,0.569,0.549,0.273,20.0,62613294.0,6.43,2506.0
USA,Asia,1.637,0.732,67.3,0.337,0.08,0.375,18.2,39862357.0,6.43,2507.0
Australia,Europe,1.829,0.456,53.0,0.925,0.798,0.264,8.9,691235370.0,6.43,2508.0
China,Europe,1.415,0.452,81.9,0.221,0.231,0.087,4.2,701878772.0,6.43,2509.0
UAE,Oceania,1.088,0.922,71.8,0.289,0.373,0.747,22.8,4460154.0,6.43,2510.0
Germany,Oceania,0.42,0.984,80.4,0.327,0.003,0.873,16.6,256074868.0,6.43,2511.0
China,South America,0.507,0.595,80.2,0.485,0.457,0.031,20.2,158152363.0,6.43,2512.0
Canada,Oceania,2.208,0.559,56.6,0.637,0.2,0.809,21.3,1156478936.0,6.43,2513.0
Sweden,Oceania,,,,,0.656,0.798,8.6,754806882.0,,2514.0
Japan,Europe,1.621,0.534,61.0,0.975,0.398,0.515,4.8,824149493.0,6.43,2515.0
USA,Oceania,1.565,0.545,71.4,0.842,0.579,0.524,18.1,643362352.0,6.43,2516.0
UK,North America,2.098,0.605,52.9,0.946,0.794,0.855,15.2,428309106.0,6.42,2517.0
Spain,North America,0.729,0.694,68.4,0.76,0.072,0.015,7.0,1084786025.0,6.42,2518.0
Bhutan,Oceania,2.028,0.455,57.6,0.895,0.755,0.128,13.5,556292943.0,6.42,2519.0
China,Europe,0.888,0.77,65.4,0.959,0.431,0.812,8.9,488756261.0,6.42,2520.0
Finland,Oceania,0.295,0.814,82.9,0.204,0.771,0.008,2.3,1129705453.0,6.42,2521.0
Brazil,Europe,1.597,0.616,64.7,0.413,0.213,0.026,24.3,59687328.0,6.42,2522.0
Italy,Europe,0.965,0.927,71.5,0.695,0.729,0.29,6.5,789658276.0,6.42,2523.0
Germany,Europe,1.248,0.667,69.5,0.386,0.632,0.081,24.1,627381833.0,6.42,2524.0
Brazil,Asia,0.996,0.954,62.1,0.492,0.031,0.522,16.0,912395322.0,6.42,2525.0
Brazil,Oceania,0.719,0.876,80.2,0.537,0.445,0.139,21.5,1117831606.0,6.42,2526.0
Germany,Oceania,1.425,0.917,51.6,0.767,0.457,0.613,20.1,973352461.0,6.42,2527.0
Denmark,North America,1.175,0.809,64.2,0.456,0.018,0.79,24.1,1349050143.0,6.42,2528.0
Spain,South America,1.024,0.814,73.2,0.485,0.244,0.656,10.1,167053420.0,6.42,2529.0
Spain,North America,0.785,0.758,70.4,0.739,0.13,0.716,16.2,1354039952.0,6.41,2530.0
Sweden,Oceania,0.601,0.911,75.9,0.867,0.601,0.387,18.9,351829986.0,6.41,2531.0
China,Europe,0.921,0.633,63.3,0.891,0.412,0.001,9.6,277105407.0,6.41,2532.0
Bhutan,North America,1.838,0.569,65.6,0.577,0.187,0.401,10.0,856390383.0,6.41,2533.0
France,South America,2.405,0.531,54.4,0.289,0.612,0.791,21.3,1281399437.0,6.41,2534.0
Bhutan,North America,0.789,0.986,66.7,0.839,0.185,0.553,13.6,920377904.0,6.41,2535.0
Singapore,South America,2.025,0.338,56.7,0.863,0.405,0.042,4.5,139576768.0,6.41,2536.0
China,North America,1.132,0.823,75.0,0.503,0.422,0.481,15.1,290751793.0,6.41,2537.0
Germany,North America,2.033,0.337,53.7,0.706,0.41,0.1,7.0,919940608.0,6.41,2538.0
India,North America,0.909,0.905,68.5,0.346,0.754,0.875,24.5,525812990.0,6.41,2539.0
USA,Oceania,1.931,0.623,59.6,0.383,0.232,0.534,10.7,785184819.0,6.41,2540.0
Spain,Oceania,1.831,0.772,52.1,0.77,0.31,0.634,15.4,261553312.0,6.41,2541.0
UAE,South America,0.544,0.857,75.8,0.81,0.024,0.107,12.2,85273842.0,6.41,2542.0
Finland,Oceania,0.987,0.982,61.4,0.248,0.707,0.028,17.6,1064421627.0,6.41,2543.0
Singapore,North America,0.999,0.446,80.9,0.42,0.216,0.038,3.9,1303856427.0,6.41,2544.0
Japan,Europe,1.376,0.348,81.9,0.476,0.265,0.137,14.7,1369441113.0,6.4,2545.0
Bhutan,South America,0.607,0.992,62.0,0.92,0.551,0.631,6.1,548151461.0,6.4,2546.0
USA,Oceania,0.829,0.989,56.1,0.837,0.753,0.349,17.3,810040315.0,6.4,2547.0
UAE,South America,1.641,0.903,58.0,0.214,0.266,0.549,4.0,658228881.0,6.4,2548.0
Italy,Asia,1.569,0.479,73.8,0.684,0.431,0.367,3.3,251426315.0,6.4,2549.0
Brazil,Europe,1.47,0.822,60.5,0.613,0.191,0.824,6.4,63432888.0,6.4,2550.0
Brazil,Oceania,0.709,0.908,73.3,0.838,0.451,0.051,23.0,342702314.0,6.4,2551.0
Denmark,Asia,1.931,0.837,54.4,0.314,0.71,0.655,8.3,183725870.0,6.4,2552.0
Canada,North America,1.585,0.773,66.8,0.282,0.288,0.326,23.3,1203947627.0,6.4,2553.0
Denmark,Europe,0.411,0.733,77.5,0.825,0.479,0.209,10.0,829404704.0,6.4,2554.0
Germany,Asia,1.576,0.533,64.1,0.863,0.271,0.194,19.1,799117121.0,6.4,2555.0
Nepal,Asia,0.795,0.924,68.3,0.448,0.578,0.212,6.0,1356409458.0,6.4,2556.0
Finland,South America,2.195,0.362,57.0,0.612,0.006,0.188,13.3,663266661.0,6.4,2557.0
China,Oceania,0.242,0.858,76.4,0.56,0.071,0.058,24.1,208275462.0,6.4,2558.0
Italy,South America,0.483,0.959,76.0,0.822,0.578,0.287,10.2,73984889.0,6.4,2559.0
China,Europe,1.174,0.439,69.3,0.622,0.484,0.15,20.7,1023269496.0,6.4,2560.0
Bhutan,South America,0.928,0.65,69.1,0.564,0.694,0.01,17.9,114220067.0,6.4,2561.0
Germany,Europe,2.459,0.421,51.5,0.596,0.745,0.788,14.4,66372797.0,6.4,2562.0
USA,Asia,0.616,0.598,80.0,0.975,0.295,0.224,17.4,392741131.0,6.39,2563.0
Finland,North America,0.907,0.698,76.3,0.745,0.633,0.121,23.8,261069383.0,6.39,2564.0
Denmark,North America,1.147,0.922,64.2,0.618,0.287,0.526,15.1,1332344893.0,6.39,2565.0
Singapore,South America,1.403,0.645,62.5,0.909,0.68,0.485,8.9,11831128.0,6.39,2566.0
Brazil,Oceania,1.814,0.689,52.3,0.672,0.51,0.324,20.0,146003450.0,6.39,2567.0
India,North America,1.789,0.386,70.3,0.668,0.724,0.216,2.2,72545650.0,6.39,2568.0
Finland,Europe,1.97,0.669,50.1,0.589,0.726,0.814,6.9,679769041.0,6.39,2569.0
Bhutan,Oceania,1.161,0.95,63.3,0.624,0.275,0.29,8.3,1126664634.0,6.39,2570.0
Nepal,North America,1.484,0.864,53.3,0.345,0.728,0.504,19.6,956034657.0,6.39,2571.0
Spain,Europe,2.419,0.35,59.0,0.287,0.085,0.665,20.9,1267657759.0,6.38,2572.0
UAE,South America,1.135,0.637,74.3,0.453,0.149,0.479,12.4,492460453.0,6.38,2573.0
Singapore,Oceania,1.404,0.712,61.4,0.579,0.014,0.388,4.4,390167654.0,6.38,2574.0
Italy,North America,1.563,0.466,66.4,0.296,0.213,0.472,24.1,160467071.0,6.38,2575.0
Bhutan,Oceania,1.21,0.547,72.2,0.927,0.74,0.49,4.2,925586478.0,6.38,2576.0
Spain,Oceania,1.372,0.508,72.8,0.528,0.01,0.402,10.1,14169047.0,6.38,2577.0
Nepal,Asia,1.413,0.542,75.0,0.308,0.405,0.524,20.9,21475941.0,6.38,2578.0
Singapore,South America,1.167,0.608,79.6,0.228,0.112,0.069,4.6,67388659.0,6.38,2579.0
Australia,Asia,1.142,0.782,77.8,0.224,0.206,0.843,19.7,1028994740.0,6.38,2580.0
USA,South America,1.395,0.355,75.7,0.268,0.151,0.204,14.1,209936185.0,6.38,2581.0
China,Asia,2.057,0.757,50.9,0.219,0.163,0.573,12.5,266138205.0,6.38,2582.0
Germany,Asia,1.61,0.932,51.7,0.435,0.688,0.711,8.6,1362729699.0,6.38,2583.0
UK,Europe,1.375,0.585,62.2,0.699,0.678,0.23,11.9,848185630.0,6.38,2584.0
France,North America,0.336,0.839,81.1,0.873,0.111,0.156,8.0,113130811.0,6.37,2585.0
Nepal,Europe,0.918,0.829,71.0,0.952,0.753,0.566,24.6,1203370488.0,6.37,2586.0
Singapore,South America,1.796,0.596,52.3,0.994,0.272,0.044,18.9,286373011.0,6.37,2587.0
France,Asia,1.629,0.327,67.7,0.796,0.348,0.142,18.3,168882123.0,6.37,2588.0
Canada,Asia,1.018,0.756,66.3,0.259,0.578,0.202,21.9,902197564.0,6.37,2589.0
UK,Asia,0.87,0.716,70.7,0.783,0.156,0.507,10.9,1163742996.0,6.37,2590.0
Germany,Asia,1.822,0.485,55.8,0.974,0.203,0.575,24.5,1206225070.0,6.37,2591.0
Brazil,North America,1.142,0.567,66.1,0.918,0.683,0.579,18.3,888894502.0,6.37,2592.0
France,Asia,1.039,0.872,69.1,0.285,0.498,0.231,13.6,425256808.0,6.37,2593.0
Japan,North America,0.952,0.5,84.6,0.666,0.008,0.85,6.9,387646037.0,6.37,2594.0
India,Oceania,1.305,0.394,83.7,0.455,0.396,0.755,18.7,354813002.0,6.37,2595.0
Singapore,Europe,1.018,0.335,76.6,0.904,0.733,0.028,23.0,1374979821.0,6.37,2596.0
Germany,South America,0.644,0.541,77.8,0.866,0.383,0.726,8.9,75936654.0,6.37,2597.0
USA,North America,1.219,0.954,58.7,0.821,0.575,0.328,17.5,863128492.0,6.37,2598.0
Germany,Europe,0.57,0.856,73.2,0.335,0.133,0.121,14.3,368001097.0,6.36,2599.0
Sweden,Asia,2.365,0.512,53.9,0.372,0.228,0.03,22.3,727812179.0,6.36,2600.0
Australia,Asia,0.927,0.892,65.5,0.857,0.212,0.684,2.1,792841960.0,6.36,2601.0
Bhutan,Oceania,1.677,0.783,55.6,0.924,0.302,0.639,6.4,655474095.0,6.36,2602.0
Japan,South America,1.812,0.489,61.4,0.348,0.766,0.026,12.0,885745125.0,6.36,2603.0
Japan,Oceania,1.742,0.456,59.8,0.48,0.401,0.654,15.2,313610039.0,6.36,2604.0
Bhutan,Oceania,0.671,0.75,65.4,0.907,0.155,0.412,18.2,886789105.0,6.36,2605.0
Canada,South America,1.925,0.408,55.9,0.63,0.308,0.783,5.8,469714482.0,6.36,2606.0
Japan,Asia,1.862,0.417,50.6,0.821,0.465,0.294,21.8,187205292.0,6.36,2607.0
USA,Asia,1.606,0.434,64.6,0.588,0.404,0.006,20.6,1109882932.0,6.36,2608.0
France,Asia,1.641,0.935,60.1,0.353,0.749,0.536,18.4,517414099.0,6.36,2609.0
Canada,Europe,1.246,0.802,62.1,0.367,0.673,0.094,2.7,937554787.0,6.35,2610.0
Nepal,Asia,1.504,0.485,72.8,0.886,0.386,0.809,24.2,608641028.0,6.35,2611.0
USA,South America,1.1,0.363,73.6,0.958,0.53,0.234,6.4,882571878.0,6.35,2612.0
Singapore,South America,1.436,0.522,55.9,0.903,0.05,0.016,14.7,811244018.0,6.35,2613.0
India,Asia,0.646,0.597,78.6,0.95,0.363,0.113,11.9,1271168842.0,6.35,2614.0
Bhutan,Europe,0.67,0.953,82.0,0.698,0.758,0.769,18.9,1179923772.0,6.35,2615.0
Italy,Asia,1.798,0.854,51.9,0.386,0.235,0.211,12.5,653867251.0,6.35,2616.0
UAE,South America,1.061,0.838,67.3,0.664,0.583,0.614,9.0,409163838.0,6.35,2617.0
Nepal,Oceania,1.701,0.629,65.6,0.782,0.222,0.854,5.7,1373216548.0,6.35,2618.0
Bhutan,Asia,2.02,0.627,58.1,0.464,0.499,0.817,4.3,62492851.0,6.35,2619.0
UAE,Asia,0.473,0.417,84.5,0.852,0.354,0.08,3.7,943058607.0,6.35,2620.0
China,North America,1.156,0.719,65.9,0.969,0.211,0.793,4.6,745157619.0,6.35,2621.0
UK,North America,1.697,0.634,56.3,0.634,0.347,0.323,9.3,360051880.0,6.35,2622.0
India,South America,1.006,1.0,65.9,0.323,0.168,0.492,22.4,118605962.0,6.35,2623.0
Japan,Oceania,0.927,0.59,79.9,0.556,0.716,0.475,8.3,998713047.0,6.35,2624.0
Brazil,Asia,1.032,0.761,72.1,0.754,0.706,0.105,18.1,1112174920.0,6.35,2625.0
UAE,North America,1.135,0.949,60.5,0.724,0.165,0.119,8.1,251142102.0,6.35,2626.0
Denmark,South America,1.252,0.693,72.7,0.497,0.702,0.361,17.0,15474026.0,6.34,2627.0
India,North America,1.752,0.308,75.1,0.461,0.101,0.234,6.6,104303756.0,6.34,2628.0
Italy,South America,1.101,0.662,81.8,0.532,0.141,0.873,14.3,967117349.0,6.34,2629.0
Italy,Oceania,1.293,0.433,66.6,0.45,0.345,0.202,12.0,1214185302.0,6.34,2630.0
India,Oceania,1.33,0.53,70.6,0.445,0.507,0.567,20.4,37219329.0,6.34,2631.0
Norway,North America,1.054,0.984,53.0,0.755,0.568,0.76,10.2,67138822.0,6.34,2632.0
Italy,Europe,1.132,0.722,79.1,0.482,0.201,0.676,19.1,586336527.0,6.34,2633.0
USA,South America,1.59,0.509,53.2,0.978,0.082,0.347,19.0,100717704.0,6.34,2634.0
Finland,North America,1.413,0.939,54.2,0.277,0.187,0.091,8.2,90003281.0,6.34,2635.0
Brazil,South America,0.886,0.714,67.7,0.619,0.469,0.189,5.3,441128705.0,6.34,2636.0
Norway,Oceania,0.436,0.796,70.5,0.956,0.266,0.477,10.4,,6.34,2637.0
Japan,Europe,1.093,0.998,55.2,0.996,0.183,0.153,6.4,1124384343.0,6.34,2638.0
UAE,North America,2.305,0.539,55.3,0.497,0.378,0.876,21.0,353246977.0,6.34,2639.0
UAE,South America,0.705,0.98,81.3,0.23,0.233,0.788,11.6,188560249.0,6.34,
Singapore,Oceania,1.823,0.458,54.7,0.504,0.202,0.638,15.9,1140334179.0,6.34,2641.0
Finland,South America,0.629,0.945,72.0,0.495,0.055,0.377,18.9,89529951.0,6.34,2642.0
Australia,Europe,0.665,0.944,77.0,0.419,0.166,0.112,20.7,1003637609.0,6.34,2643.0
Spain,Europe,1.012,0.491,84.0,0.562,0.11,0.372,22.3,944404679.0,6.34,2644.0
Italy,North America,1.518,0.402,80.4,0.452,0.281,0.766,4.3,617506417.0,6.34,2645.0
Bhutan,Oceania,2.271,0.334,55.6,0.693,0.773,0.702,5.7,808825168.0,6.33,2646.0
UAE,North America,0.251,0.973,80.8,0.693,0.432,0.853,,701087903.0,6.33,2647.0
USA,Europe,1.984,0.505,59.6,0.575,0.044,0.595,12.3,367836911.0,6.33,2648.0
China,North America,1.178,0.653,74.9,0.507,0.732,0.328,22.8,161104080.0,6.33,2649.0
India,Asia,1.77,0.635,63.4,0.388,0.165,0.586,20.1,366709607.0,6.33,2650.0
USA,Oceania,0.646,0.984,68.7,0.41,0.481,0.023,24.3,599899936.0,6.33,2651.0
Australia,Oceania,0.791,0.5,83.1,0.943,0.043,0.024,24.3,607637315.0,6.33,2652.0
France,Oceania,1.524,0.607,57.4,0.904,0.061,0.551,22.5,942129895.0,6.33,2653.0
Sweden,North America,0.934,0.734,70.0,0.737,0.504,0.857,21.6,762427784.0,6.33,2654.0
Bhutan,Europe,1.193,0.641,69.4,0.478,0.602,0.898,11.1,1198858119.0,6.33,2655.0
Spain,Oceania,1.1,0.579,76.7,0.724,0.586,0.461,14.4,1339766229.0,6.33,2656.0
Sweden,Oceania,1.241,0.371,78.0,0.726,0.44,0.68,7.5,1265402070.0,6.33,2657.0
Bhutan,South America,1.164,0.595,69.6,0.762,0.688,0.197,16.5,347303026.0,6.33,2658.0
Bhutan,South America,1.542,0.596,55.0,0.82,0.411,0.417,22.1,918214314.0,6.32,2659.0
Australia,Oceania,2.254,0.411,52.9,0.498,0.543,0.837,15.5,21446808.0,6.32,2660.0
USA,Oceania,0.904,0.743,72.7,0.433,0.799,0.805,24.9,1190900991.0,6.32,2661.0
Canada,North America,0.884,0.987,64.6,0.356,0.493,0.704,5.9,674811424.0,6.32,2662.0
France,Europe,1.319,0.678,57.4,0.834,0.144,0.491,15.7,440857061.0,6.32,2663.0
USA,South America,2.427,0.381,62.0,0.459,0.496,0.876,15.3,241546026.0,6.32,2664.0
UK,South America,0.423,0.797,81.6,0.682,0.003,0.897,13.5,1148930714.0,6.32,2665.0
Italy,Europe,0.934,0.357,83.2,0.697,0.777,0.89,24.7,512667895.0,6.32,2666.0
Canada,South America,1.017,0.394,83.6,0.853,0.753,0.491,20.6,269635658.0,6.31,2667.0
Spain,Oceania,1.532,0.9,54.2,0.251,0.73,0.602,21.1,1006353430.0,6.31,2668.0
Italy,Asia,1.687,0.488,56.4,0.468,0.237,0.084,22.6,923137483.0,6.31,2669.0
Nepal,South America,2.195,0.536,50.9,0.506,0.601,0.425,19.4,1333491971.0,6.31,2670.0
Germany,South America,1.067,0.387,76.2,0.901,0.574,0.852,16.9,35859840.0,6.31,2671.0
USA,Europe,,,,,0.324,0.293,12.3,954863009.0,,2672.0
Singapore,North America,2.212,0.511,52.7,0.649,0.252,0.818,4.9,705897058.0,6.31,2673.0
Spain,North America,0.678,0.794,70.6,0.718,0.411,0.76,14.6,800541723.0,6.31,2674.0
Spain,Europe,0.43,0.936,71.5,0.758,0.554,0.817,7.6,557434105.0,6.31,2675.0
France,Europe,1.213,0.418,73.0,0.48,0.765,0.547,9.2,416373578.0,6.31,2676.0
Germany,North America,0.394,0.764,74.8,0.574,0.396,0.07,24.8,147753790.0,6.31,2677.0
Nepal,Asia,1.288,0.776,54.2,0.533,0.299,0.141,2.5,70872710.0,6.31,2678.0
Bhutan,Asia,1.081,0.499,66.5,0.867,0.348,0.52,6.3,394242458.0,6.31,2679.0
Denmark,South America,0.681,0.614,81.0,0.755,0.112,0.776,14.5,894119128.0,6.31,2680.0
Finland,Asia,0.485,0.792,71.4,0.948,0.006,0.309,9.4,937392028.0,6.31,2681.0
Bhutan,Asia,1.119,0.675,59.8,0.816,0.217,0.701,3.1,342595053.0,6.31,2682.0
India,North America,0.856,0.691,66.6,0.829,0.374,0.004,10.4,990434232.0,6.31,2683.0
India,Europe,1.491,0.673,56.6,0.701,0.683,0.283,19.8,1248169164.0,6.31,2684.0
Germany,North America,0.915,0.97,79.5,0.341,0.559,0.843,9.5,1068756821.0,6.3,2685.0
Bhutan,Europe,1.741,0.634,61.0,0.353,0.047,0.233,24.8,1374204109.0,6.3,2686.0
Finland,South America,1.149,0.777,73.2,0.329,0.531,0.54,8.0,534636637.0,6.3,2687.0
Bhutan,South America,2.01,0.535,53.1,0.867,0.347,0.387,14.0,706808392.0,6.3,2688.0
Singapore,South America,0.981,0.895,53.5,0.786,0.709,0.291,5.3,88424784.0,6.3,2689.0
Singapore,Oceania,1.673,0.322,58.0,0.865,0.519,0.504,9.8,572357283.0,6.3,2690.0
Germany,Europe,0.62,0.869,75.5,0.315,0.652,0.753,22.2,941905788.0,6.3,2691.0
Germany,Oceania,1.143,0.3,81.8,0.862,0.433,0.056,7.6,250269323.0,6.3,2692.0
Japan,Oceania,0.392,0.802,74.3,0.388,0.297,0.044,3.3,1323089594.0,6.3,2693.0
Brazil,Europe,0.984,0.61,69.2,0.714,0.46,0.679,24.4,945642989.0,6.3,2694.0
Singapore,Asia,0.589,0.451,76.8,0.947,0.008,0.52,20.6,1074093769.0,6.3,2695.0
Sweden,Europe,1.764,0.743,50.2,0.893,0.162,0.064,23.4,1355128022.0,6.3,2696.0
Japan,Oceania,0.864,0.979,77.2,0.256,0.75,0.289,14.1,933708854.0,6.3,2697.0
Germany,North America,1.658,0.903,57.5,0.54,0.755,0.521,23.6,111089034.0,6.3,2698.0
Sweden,Oceania,2.024,0.322,59.5,0.85,0.296,0.5,20.9,22523942.0,6.3,2699.0
Japan,Asia,0.908,0.319,84.1,0.675,0.692,0.605,22.9,759394188.0,6.3,2700.0
Singapore,Asia,1.423,0.914,63.5,0.384,0.276,0.833,3.3,905758502.0,6.3,2701.0
UK,South America,,,,,0.718,0.637,2.8,676263594.0,,2702.0
Italy,Asia,1.919,0.429,61.0,0.818,0.776,0.043,8.5,1194351868.0,6.3,2703.0
Italy,Oceania,1.714,0.752,54.8,0.614,0.239,0.518,5.4,882847775.0,6.29,2704.0
Australia,Asia,2.103,0.4,56.5,0.515,0.457,0.675,21.2,219823462.0,6.29,2705.0
UAE,South America,1.274,0.84,60.3,0.865,0.493,0.741,12.8,1338146170.0,6.29,2706.0
India,Europe,1.388,0.765,62.1,0.269,0.59,0.65,22.7,1184128882.0,6.29,2707.0
UK,Oceania,0.671,0.551,71.7,0.887,0.029,0.397,8.1,169925559.0,6.29,2708.0
Australia,North America,0.694,0.625,76.1,0.766,0.45,0.096,5.2,655960495.0,6.29,2709.0
Japan,Oceania,0.834,0.858,68.4,0.71,0.068,0.655,22.7,1076699927.0,6.29,2710.0
Brazil,Europe,0.251,0.94,77.8,0.652,0.462,0.133,17.7,800372881.0,6.29,2711.0
Bhutan,Asia,0.916,0.618,69.2,0.888,0.724,0.446,5.0,1305292912.0,6.29,2712.0
India,Asia,1.335,0.736,68.5,0.321,0.222,0.518,10.6,460148547.0,6.29,2713.0
UAE,Europe,1.52,0.646,65.0,0.514,0.009,0.824,6.5,33265306.0,6.29,2714.0
Sweden,South America,1.366,0.801,62.1,0.721,0.339,0.327,4.8,149574384.0,6.29,2715.0
Italy,North America,2.057,0.329,72.7,0.351,0.044,0.884,10.4,66148725.0,6.29,2716.0
Nepal,South America,0.929,0.586,75.9,0.742,0.478,0.882,11.1,1309050605.0,6.29,2717.0
UAE,Asia,,,,,0.141,0.192,7.8,445970207.0,,2718.0
UK,Europe,1.794,0.353,73.7,0.239,0.081,0.578,14.7,626868861.0,6.29,2719.0
Australia,Asia,1.513,0.862,63.8,0.581,0.49,0.877,6.4,815354637.0,6.29,2720.0
France,Europe,0.881,0.724,78.6,0.261,0.462,0.387,13.7,142419483.0,6.29,2721.0
Denmark,South America,,,,,0.303,0.061,10.8,715288889.0,,2722.0
Norway,Asia,1.698,0.373,67.9,0.963,0.021,0.447,6.0,270789468.0,6.28,2723.0
Sweden,Europe,1.1,0.682,67.5,0.489,0.631,0.437,19.3,440703618.0,6.28,2724.0
France,Oceania,1.559,0.335,66.4,0.696,0.104,0.099,11.8,995179942.0,6.28,2725.0
India,Europe,1.631,0.669,51.4,0.588,0.471,0.499,9.9,1356712041.0,6.28,2726.0
Denmark,Oceania,1.213,0.385,75.7,0.871,0.173,0.305,3.9,216205233.0,6.28,2727.0
Canada,Asia,1.903,0.417,63.3,0.465,0.156,0.386,8.0,514872832.0,6.28,2728.0
Nepal,North America,0.421,0.871,81.4,0.372,0.494,0.558,3.2,1213306122.0,6.28,2729.0
Spain,Europe,1.604,0.856,52.8,0.639,0.483,0.822,15.1,197388193.0,6.28,2730.0
Brazil,Oceania,0.767,0.929,63.5,0.83,0.574,0.729,3.3,825839653.0,6.28,2731.0
Italy,North America,0.795,0.309,82.5,0.847,0.514,0.118,16.4,200920760.0,6.28,2732.0
Denmark,Oceania,1.053,0.347,80.2,0.851,0.456,0.574,12.6,816825170.0,6.28,2733.0
Norway,Oceania,0.554,0.592,73.7,0.986,0.203,0.368,11.5,462783188.0,6.28,2734.0
Norway,Europe,0.261,0.898,80.1,0.523,0.387,0.733,23.2,600397096.0,6.28,2735.0
Sweden,South America,,,,,0.559,0.287,12.0,78948944.0,,2736.0
Brazil,Asia,2.09,0.556,54.0,0.671,0.175,0.206,4.1,562089223.0,6.28,2737.0
China,Asia,0.741,0.538,80.2,0.982,0.344,0.631,17.5,1271379403.0,6.28,2738.0
Germany,North America,0.437,0.641,74.3,0.909,0.791,0.049,8.5,1288222430.0,6.28,2739.0
USA,Oceania,1.076,0.859,66.3,0.902,0.695,0.276,4.8,568638483.0,6.28,2740.0
China,Asia,1.035,0.446,84.1,0.87,0.737,0.673,23.7,1199233230.0,6.28,2741.0
France,South America,0.325,0.808,80.0,0.954,0.785,0.884,2.1,1244528646.0,6.28,2742.0
Denmark,South America,1.834,0.47,66.1,0.822,0.787,0.751,21.9,100169774.0,6.28,2743.0
Brazil,North America,1.208,0.361,83.8,0.238,0.368,0.338,18.1,85700833.0,6.28,2744.0
Denmark,Europe,2.443,0.44,55.1,0.553,0.773,0.748,14.5,1357764382.0,6.28,2745.0
India,South America,1.088,0.955,65.5,0.302,0.708,0.215,3.6,1339003140.0,6.27,2746.0
Italy,North America,0.79,0.83,73.8,0.836,0.691,0.521,16.7,190820854.0,6.27,2747.0
USA,Europe,1.385,0.653,62.8,0.567,0.542,0.298,12.7,673384528.0,6.27,2748.0
Sweden,South America,0.313,0.829,74.7,0.911,0.641,0.337,4.6,838518583.0,6.27,2749.0
Nepal,South America,1.572,0.31,72.8,0.608,0.542,0.721,15.2,935640955.0,6.27,2750.0
Spain,North America,1.845,0.487,54.1,0.536,0.641,0.44,14.0,1177795158.0,6.27,2751.0
